1,Раджабов,1
2,Сивожелезов,2
3,Чеснюк,3
4,Мацкевич,4
5,Шеронов,5
6,Гавриш,6
7,Демьянов,7
8,Пехоцкий,8
9,Шерстюк,9
10,Казиимиров,10
11,Назаров,11
12,Шатров,12
13,Никольский,13
14,Гурин,14
15,Кузин,16
16,Наливайков,17
17,Чех,18
18,Есьман,19
